country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burundi,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0.704,0.704,0.704,0.704,0.704,0.587,0.587,0.587,0.587,0.587,0.555,0.555,0.555,0.555
Cambodia,0,,,,,,,,,,,,,,,,,,0.888,0.888,0.888,0.888,0.888,0.922,0.922,0.922,0.922,0.922,0.779,0.779,0.779,0.779,0.779,0.759,0.759,0.759,0.759,0.759,0.698,0.698,0.698,0.698,0.698,0.663
Cameroon,,,,,,,,,,,,,,0.678,0.678,0.678,0.678,0.55,0.55,0.55,0.55,0.55,0.537,0.537,0.537,0.537,0.537,0.369,0.369,0.453,0.453,0.453,0.345,0.345,0.345,0.345,0.503,0.503,0.375,0.375,0.375,0.375,0.375,0.291
Canada,0.642,0.642,0.642,0.642,0.684,0.645,0.645,0.645,0.645,0.679,0.679,0.679,0.679,0.683,0.683,0.683,0.683,0.683,0.639,0.639,0.639,0.639,0.571,0.571,0.571,0.546,0.546,0.546,0.546,0.553,0.553,0.588,0.588,0.536,0.536,0.536,0.542,0.542,0.542,0.542,0.621,0.621,0.621,0.621
Central African Republic,0,0,0,0,0,0,,0,0,0,0,,,,,,,,0.503,0.503,0.503,0.503,0.503,0.536,0.637,0.637,0.637,0.637,0.637,0,0.451,0.451,0.451,0.451,0.451,0.451,0.557,0.557,0.557,0,0.482,0.575,0.575,0.575
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.799,0.256,0.256,0.256,0.256,0.7,0.596,0.596,0.596,0.596,0.714,0.714,0.714,0.714,0.714,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863,0.863,0.863,0.863,0.815,0.815,0.815,0.815,0.731,0.731,0.728,0.724,0.67,0.67,0.67,0.67,0.636,0.633,0.633,0.633,0.596,0.591,0.591,0.591,0.537,0.537,0.537,0.537,0.497,0.497
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0.484,0.484,0.484,0.308,0.308,0.308,0.308,0.388,0.388,0.388,0.388,0.411,0.411,0.411,0.411,0.4,0.256,0.256,0.256,0.292,0.292,0.292,0.292,0.405,0.405,0.405,0.405,0.448,0.448,0.448,0.448,0.441,0.441,0.441,0.441,0.449,0.449,0.449,0.449,0.524,0.524,0.524,0.524,0.573
"Congo, Dem. Rep.",,,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0.614,0.614,0.614,0.614,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.415
"Congo, Rep.",,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.558,0.358,0.358
Costa Rica,0.714,0.714,0.714,0.753,0.753,0.753,0.753,0.79,0.79,0.79,0.79,0.815,0.815,0.815,0.815,0.851,0.851,0.851,0.851,0.842,0.842,0.842,0.842,0.737,0.737,0.737,0.737,0.67,0.67,0.67,0.67,0.64,0.64,0.64,0.64,0.623,0.623,0.623,0.623,0.643,0.643,0.643,0.643,0.606
