country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.291,0.291,0.291,0.291,0.315,0.415,0.415,0.419,0.419,0.427,0.571,0.669,0.701,0.799,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.758,0.758,0.758,0.73,0.713,0.657
Bulgaria,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.615,0.62,0.641,0.641,0.636,0.636,0.641,0.641,0.641,0.641,0.641,0.593,0.66,0.66,0.66,0.635,0.642,0.642,0.642,0.695,0.682,0.711,0.658,0.642,0.657,0.654,0.651,0.641,0.641
Burkina Faso,0.464,0.464,0.492,0.563,0.563,0.356,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.287,0.287,0.287,0.401,0.519,0.519,0.519,0.519,0.519,0.538,0.582,0.582,0.582,0.635,0.641,0.641,0.641,0.657,0.657,0.621,0.621,0.621,0.601,0.601,0.631,0.649,0.608,0.598,0.595,0.62,0.623
Burundi,0.15,0.15,0.15,0.15,0.15,0.15,0.183,0.183,0.183,0.177,0.177,0.177,0.177,0.15,0.15,0.15,0.15,0.362,0.498,0.386,0.386,0.376,0.376,0.407,0.407,0.407,0.386,0.432,0.432,0.432,0.513,0.499,0.499,0.486,0.486,0.435,0.435,0.435,0.435,0.435,0.407,0.375,0.375,0.375
Cambodia,0,0.0404,0.0404,0.0404,0.0349,0.0349,0.0397,0.0397,0.0397,0.0397,0.0397,0.0397,0.0397,0.0397,0.0397,0.117,0.117,0.146,0.468,0.492,0.492,0.492,0.465,0.529,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.465,0.465,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.376,0.353
Cameroon,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.349,0.358,0.474,0.474,0.474,0.474,0.474,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.479,0.479,0.479,0.479,0.474,0.452,0.468,0.468,0.468,0.449,0.449,0.467
Canada,0.707,0.707,0.707,0.707,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.698,0.698,0.698,0.698,0.698,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.72,0.72,0.72,0.72,0.72,0.72,0.743,0.743,0.743,0.743,0.743,0.76,0.76,0.764,0.764,0.742,0.742,0.715,0.715
Central African Republic,0.134,0.134,0.134,0.134,0.162,0.242,0.315,0.131,0.131,0.131,0.131,0.232,0.22,0.22,0.22,0.259,0.331,0.367,0.431,0.431,0.431,0.431,0.431,0.434,0.434,0.434,0.434,0.434,0.41,0.376,0.431,0.431,0.431,0.431,0.431,0.431,0.421,0.421,0.44,0.42,0.446,0.485,0.477,0.491
Chad,0.164,0.125,0.125,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.125,0.125,0.125,0.125,0.125,0.227,0.335,0.351,0.351,0.351,0.351,0.45,0.45,0.45,0.45,0.45,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.467,0.45,0.43,0.447,0.447,0.45,0.46,0.471,0.471
Chile,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.197,0.216,0.216,0.223,0.232,0.394,0.499,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.746,0.796,0.796,0.796,0.696,0.865,0.865,0.865,0.756,0.756,0.736,0.736,0.762,0.75
China,0.154,0.154,0.146,0.146,0.146,0.146,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.146,0.146,0.146,0.146,0.146,0.139,0.139,0.139,0.127,0.127,0.127,0.127,0.146,0.152
