country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0.0111,0.0111,0.0111,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.273,0.273,0,0,0,0,0,0,0,0,0.273,0.273,0.273,0.273,0.273,0.257,0.242,0.227,0.211,0.196,0.12,0.11,0.0999,0.182
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0.0854,0.0854,0.0802,0.0751,0.07,0.0649,0.0598,0.0546,0.0495,0.0444,0.0393,0.0341,0.029,0.0239,0.0188,0.0137,0.00854,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.173,0.173,0.173,0.173,0.154,0.134,0.115,0.096,0.0768,0.0576,0.0384,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909,0.0909,0.0909,0.0858,0.0807,0.151,0.273,0.273,0.273,0.273,0.273,0.257,0.242,0.227,0.211,0,0,0.182,0.182,0.182,0.182,0.172,0.161,0.151,0.141,0.0111,0.0111,0.0965,0.0111,0.0111,0.0111
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.182,0.182,0.172,0.161,0.151,0.141,0.231,0.221,0.211,0.201,0.19,0.173,0.157,0.14,0.123,0.106,0.0888,0.0819,0.0751,0.0683
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0.3,0.3,0.3,0.3,0.284,0.27,0.255,0.239,0.225,0.21,0.196,0.181,0.275,0.275,0.275,0.275,0.275,0.25,0.225,0.2,0.175,0.151,0.125,0.101,0.073,0.277,0.271,0.271
"Congo, Dem. Rep.",0.117,0.109,0.111,0.105,0.1,0.0952,0.0901,0.0815,0.0734,0.0747,0.0696,0.0644,0.141,0.141,0.138,0.0495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.129,0.129,0.122,0.116,0.109,0.102,0.0956,0.0888,0.0819,0.0751,0.0683
"Congo, Rep.",0.0854,0.0854,0.0854,0,0,0.0854,0.0854,0.0854,0.0854,0.0802,0.0751,0.07,0.0649,0.0598,0.0546,0.0495,0.0444,0.273,0.273,0.273,0.273,0.273,0.257,0,0,0,0,0.221,0.211,0.201,0.19,0.18,0.163,0.147,0.13,0.113,0.0956,0.0888,0.0819,0.0751,0.129,0.129,0.129,0.129
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986,0.0986,0.0986,0.0986,0.0909,0.311,0.311,0.311,0.311,0.311,0.297,0.282,0.268,0.252,0.238,0.223,0.209
Cote d'Ivoire,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0.0999,0.0896,0.0794,0.0691,0.219,0.208,0.198
Croatia,,,,,,,,,,,,,,,,,,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.0807,0.19,0.399,0.399,0.399,0.399,0.393,0.371
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,,,,,,,,,,,,,,,,,,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.168,0.168,0.168,0.168,0.168,0.157,0.149,0.138,0.128,0.118,0.108,0.0973,0.0871,0.0768,0.0666,0.0576
Denmark,0.237,0.237,0.224,0.237,0.237,0.237,0.237,0.237,0.224,0.211,0.198,0.384,0.371,0.359,0.346,0.333,0.306,0.388,0.415,0.415,0.415,0.415,0.393,0.423,0.41,0.396,0.383,0.37,0.343,0.318,0.291,0.265,0.239,0.213,0.277,0.264,0.251,0.237,0.237,0.237,0.237,0.237,0.237,0.237
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154
Ecuador,0.00854,0.00854,0.00854,0.0576,0.173,0.173,0.173,0.173,0.154,0.134,0.115,0.173,0.173,0.173,0.173,0.173,0.154,0.134,0.115,0.192,0.192,0.192,0.192,0.311,0.311,0.207,0.207,0.296,0.28,0.265,0.25,0.311,0.311,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.451,0.425,0.43,0.42
Egypt,0.141,0.141,0.141,0.141,0.283,0.283,0.283,0.283,0.283,0.283,0.276,0.259,0.263,0.256,0.249,0.242,0.236,0.229,0.222,0.215,0.209,0.202,0.195,0.178,0.182,0.182,0.182,0.182,0.182,0.172,0.262,0.252,0.242,0.231,0.221,0.211,0.283,0.276,0.26,0,0,0.182,0.182,0.182
El Salvador,0,0,0,0,0,0,0,0,0.0111,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0.0854,0.0854,0.0854,0.0802,0.0751,0.07,0.0649,0.0854,0.0854,0.0854,0.171,0.171,0.16,0.15,0.14,0.13,0.12,0.109,0.099,0.0888,0.0393,0.0341,0.029,0.0239,0.0188,0.0137,0.00854,0.0854,0.0854,0.0854,0.0854,0.0854,0.0802,0.0751,0.07
Eritrea,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,,,,,,,,,,,,,,,0.256,0.279,0.279,0.279,0.279,0.279,0.264,0.248,0.233,0.218,0.202,0.187,0.373,0.357,0.342,0.327,0.311,0.282,0.254,0.225,0.196,0.182,0.169,0.156,0.142,0.128,0.115,0.102
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111
